user,name,salary,location,date,attendance
11,manish,10000,US,01/05/2022,y
12,raj,20000,India,02/05/2022,y
13,meg,10000,India,03/05/2022,n
14,rah,15000,India,04/05/2022,y
15,kish,20000,India,01/05/2022,y
11,mani,10000,US,01/05/2022,y
12,raju,20000,India,02/05/2022,y
13,meggy,10000,India,03/05/2022,n
14,rahu,15000,India,04/05/2022,y
15,kishi,20000,India,01/05/2022,y
16,mish,10000,US,01/05/2022,y
17,raja,20000,India,02/05/2022,y
18,me,10000,India,03/05/2022,n
19,ra,15000,India,04/05/2022,y
20,kirsh,20000,India,01/05/2022,y
11,manish,10000,US,01/05/2022,y
12,raj,20000,India,02/05/2022,y
13,meg,10000,India,03/05/2022,n
14,rah,15000,India,04/05/2022,y
15,kish,20000,India,01/05/2022,y
